Be Yourself,0020670,1930,2,1,0
Min and Bill,0021148,1930,3,1,0
Ladies of Leisure,0021040,1930,3,1,0
Bat Whispers The,0020668,1930,3,0,0
All Quiet on the Western Front,0020629,1930,0,0,0
Morocco,0021156,1930,1,0,0
L&#39;Age d&#39;Or,0021577,1930,0,0,0
Blue Angel The,0020697,1930,1,0,0
Murder!,0021165,1930,3,0,0
Last Flight The,0022054,1931,0,0,0
City Lights,0021749,1931,3,0,0
Smiling Lieutenant The,0022074,1931,2,0,0
Skin Game The,0022395,1931,3,0,0
Public Enemy The,0022286,1931,3,0,0
Tabu: A Story of the South Seas,0022458,1931,0,0,0
M,0022100,1931,3,0,0
Frankenstein,0021884,1931,1,0,0
Mata Hari,0023196,1931,3,1,0
A Nous la Liberte,0022599,1931,1,0,0
Pardon Us,0022251,1931,0,0,0
Monkey Business,0022158,1931,1,0,0
Cheat The,0021735,1931,3,1,0
Rich and Strange [East of Shanghai],0023395,1931,2,0,0
La Chienne,0021739,1931,3,0,0
Little Caesar,0021079,1931,1,0,0
Dracula,0021814,1931,2,0,0
Anna Christie,0020642,1931,3,1,0
M&auml;dchen in Uniform,0022183,1931,3,0,1
Night Nurse,0022208,1931,3,1,0
Indiscreet,0022000,1931,3,1,0
Island of Lost Souls,0024188,1932,1,0,0
I Am a Fugitive from a Chain Gang,0023042,1932,1,0,0
Boudu Saved from Drowning,0022718,1932,1,0,0
I Was Born But...,0023634,1932,1,0,0
Most Dangerous Game The,0023238,1932,0,0,0
White Zombie,0023694,1932,0,0,0
Death Kiss The,0023935,1932,1,0,0
Age of Consent The,0022614,1932,2,1,0
Merrily We Go to Hell,0023213,1932,3,1,1
Number 17,0023285,1932,0,0,0
Blue Light (Das Blaue Licht) The,0022694,1932,1,1,1
Shanghai Express,0023458,1932,3,1,0
Thirteen Women,0023582,1932,3,1,0
Grand Hotel,0022958,1932,3,1,0
Old Dark House The,0023293,1932,3,0,0
Love Me Tonight,0023158,1932,2,0,0
Girl from Calgary The,0022940,1932,2,1,0
Horse Feathers,0023027,1932,1,0,0
Freaks,0022913,1932,2,0,0
Vampyr,0023649,1932,3,0,0
Three on a Match,0023590,1932,3,1,0
Scarface,0023427,1932,1,0,0
Red-Headed Woman,0023385,1932,3,1,0
Queen Christina,0024481,1933,3,1,0
42nd Street,0024034,1933,3,0,0
King Kong,0024216,1933,0,0,0
A Study in Scarlet,0024625,1933,3,0,0
Peanut Vendor The,0024432,1933,0,1,0
Gold Diggers of 1933,0024069,1933,3,1,0
Invisible Man The,0024184,1933,1,0,0
Private Life of Henry VIII. The,0024473,1933,1,0,0
Alice in Wonderland,0023753,1933,3,1,0
Footlight Parade,0024028,1933,3,0,0
Little Women,0024264,1933,3,1,0
Duck Soup,0023969,1933,1,0,0
Female,0024008,1933,3,1,0
Baby Face,0023775,1933,3,1,0
Day of Reckoning,0023932,1933,3,0,0
Tomorrow at Seven,0024679,1933,3,0,0
Vanpire Bat The,0024727,1933,3,0,0
Count of Monte Cristo The,0025004,1934,1,0,0
Cleopatra,0024991,1934,1,1,0
Of Human Bondage,0025586,1934,1,0,0
Maniac,0025465,1934,3,0,0
L&#39;atalante,0024844,1934,0,0,0
Search for Beauty,0025755,1934,3,0,0
Scarlet Empress The,0025746,1934,3,1,0
Painted Veil The,0025617,1934,1,1,0
Lost in the Stratosphere,0025424,1934,2,0,0
Spitfire,0025822,1934,3,1,0
Anne of Green Gables,0024831,1934,3,1,0
Cat&#39;s-Paw The,0024961,1934,1,0,0
It Happened One Night,0025316,1934,3,0,0
Man Who Knew Too Much The,0025452,1934,3,0,0
Evelyn Prentice,0025091,1934,3,0,0
Imitation of Life,0025301,1934,3,1,0
